Date,Active
06-19-2022,4446.065864
06-18-2022,4445.176875
06-17-2022,4444.411214
06-16-2022,4443.654546
06-15-2022,4442.945411
06-14-2022,4442.33391
06-13-2022,4441.907401
06-12-2022,4441.579811
06-11-2022,4441.25993
06-10-2022,4440.981157
06-09-2022,4440.699815
06-08-2022,4440.462152
06-07-2022,4440.211642
06-06-2022,4440.026651
06-05-2022,4439.911031
06-04-2022,4439.773572
06-03-2022,4439.638682
06-02-2022,4439.493514
06-01-2022,4439.307238
05-31-2022,4439.128669
05-30-2022,4439.002772
05-29-2022,4438.888437
05-28-2022,4438.789518
05-27-2022,4438.717576
05-26-2022,4438.64692
05-25-2022,4438.571124
05-24-2022,4438.499183
05-23-2022,4438.423388
05-22-2022,4438.571124
05-21-2022,4438.323184
05-20-2022,4438.264089
05-19-2022,4438.216557
05-18-2022,4438.162601
05-17-2022,4438.116353
05-16-2022,4438.072674
05-15-2022,4438.03285
05-14-2022,4437.99431
05-13-2022,4437.949346
05-12-2022,4437.892821
05-11-2022,4437.838865
05-10-2022,4437.788763
05-09-2022,4437.737376
05-08-2022,4437.688559
05-07-2022,4437.62818
05-06-2022,4437.513845
05-05-2022,4437.431626
05-04-2022,4437.357115
05-03-2022,4437.309583
05-02-2022,4437.259481
05-01-2022,4437.208094
04-30-2022,4437.147715
04-29-2022,4437.084766
04-28-2022,4437.015394
04-27-2022,4436.921614
04-26-2022,4436.822695
04-25-2022,4436.659542
04-24-2022,4436.659542
04-23-2022,4436.592739
04-22-2022,4436.524652
04-21-2022,4436.451426
04-20-2022,4436.401324
04-19-2022,4436.3615
04-18-2022,4436.32296
04-17-2022,4436.288274
04-16-2022,4436.249734
04-15-2022,4436.220186
04-14-2022,4436.191924
04-13-2022,4436.159807
04-12-2022,4436.122552
04-11-2022,4436.094289
04-10-2022,4436.058319
04-09-2022,4436.019779
04-08-2022,4435.992801
04-07-2022,4435.964538
04-06-2022,4435.931137
04-05-2022,4435.892597
04-04-2022,4435.861765
04-03-2022,4435.834787
04-02-2022,4435.805239
04-01-2022,4435.766699
03-31-2022,4435.72559
03-30-2022,4435.680627
03-29-2022,4435.630525
03-28-2022,4435.582992
03-27-2022,4435.540598
03-26-2022,4435.49692
03-25-2022,4435.451956
03-24-2022,4435.404424
03-23-2022,4435.351752
03-22-2022,4435.295227
03-21-2022,4435.233563
03-20-2022,4435.166761
03-19-2022,4435.094819
03-18-2022,4435.020309
03-17-2022,4434.941944
03-16-2022,4434.852018
03-15-2022,4434.759522
03-14-2022,4434.660602
03-13-2022,4434.550121
03-12-2022,4434.428078
03-11-2022,4434.293188
03-10-2022,4434.149305
03-09-2022,4433.983584
03-08-2022,4433.794738
03-07-2022,4433.600753
03-06-2022,4433.397776
03-05-2022,4433.145982
03-04-2022,4432.859501
03-03-2022,4432.524203
03-02-2022,4432.149081
03-01-2022,4431.737988
02-28-2022,4431.290924
02-27-2022,4430.820737
02-26-2022,4430.256769
02-25-2022,4429.640129
02-24-2022,4428.988804
02-23-2022,4428.250121
02-22-2022,4427.456197
02-21-2022,4426.594187
02-20-2022,4425.58187
02-19-2022,4424.362723
02-18-2022,4423.012539
02-17-2022,4421.540312
02-16-2022,4419.931911
02-15-2022,4418.248999
02-14-2022,4416.546817
02-13-2022,4414.447673
02-12-2022,4411.498081
02-11-2022,4407.885601
02-10-2022,4403.921123
02-09-2022,4399.306604
02-08-2022,4394.205197
02-07-2022,4388.399793
02-06-2022,4381.84286
02-05-2022,4373.980706
02-04-2022,4364.314882
02-03-2022,4351.576138
02-02-2022,4336.169143
02-01-2022,4318.167123
01-31-2022,4297.489145
01-30-2022,4272.720792
01-29-2022,4244.152398
01-28-2022,4212.783433
01-27-2022,4178.6974
01-26-2022,4142.065159
01-25-2022,4103.556023
01-24-2022,4064.945397
01-23-2022,4026.129225
01-22-2022,3986.84415
01-21-2022,3947.34839
01-20-2022,3908.975428
01-19-2022,3872.284093
01-18-2022,3837.62253
01-17-2022,3806.934437
01-16-2022,3776.818021
01-15-2022,3746.018163
01-14-2022,3715.200319
01-13-2022,3658.199705
01-12-2022,3658.199705
01-11-2022,3615.403639
01-10-2022,3615.403639
01-09-2022,3597.431167
01-08-2022,3580.865404
01-07-2022,3566.762345
01-06-2022,3555.224763
01-05-2022,3546.253943
01-04-2022,3540.007898
01-03-2022,3536.499477
01-02-2022,3534.279574
01-01-2022,3532.231817
03-09-2023,4618.530939
03-08-2023,4618.487261
03-07-2023,4618.446151
03-06-2023,4618.410181
03-05-2023,4618.375495
03-04-2023,4618.339524
03-03-2023,4618.302269
03-02-2023,4618.271437
03-01-2023,4618.248313
02-28-2023,4618.227758
02-27-2023,4618.209773
02-26-2023,4618.187934
02-25-2023,4618.167379
02-24-2023,4618.149394
02-23-2023,4618.132693
02-22-2023,4618.117277
02-21-2023,4618.10443
02-20-2023,4618.092868
02-19-2023,4618.080022
02-18-2023,4618.069744
02-17-2023,4618.062036
02-16-2023,4618.051759
02-15-2023,4618.044051
02-14-2023,4618.036343
02-13-2023,4618.028635
02-12-2023,4618.023496
02-11-2023,4618.006796
02-10-2023,4617.997803
02-09-2023,4617.997803
02-08-2023,4617.986241
02-07-2023,4617.975964
02-06-2023,4617.968256
02-05-2023,4617.963117
02-04-2023,4617.955409
02-03-2023,4617.950271
02-02-2023,4617.946417
02-01-2023,4617.939993
01-31-2023,4617.934855
01-30-2023,4617.929716
01-29-2023,4617.924577
01-28-2023,4617.919439
01-27-2023,4617.913015
01-26-2023,4617.905307
01-25-2023,4617.896315
01-24-2023,4617.883468
01-23-2023,4617.870621
01-22-2023,4617.861629
01-21-2023,4617.85649
01-20-2023,4617.850067
01-19-2023,4617.844928
01-18-2023,4617.838505
01-17-2023,4617.830797
01-16-2023,4617.824373
01-15-2023,4617.815381
01-14-2023,4617.805103
01-13-2023,4617.794826
01-12-2023,4617.781979
01-11-2023,4617.770417
01-10-2023,4617.76014
01-09-2023,4617.749863
01-08-2023,4617.742155
01-07-2023,4617.731877
01-06-2023,4617.722885
01-05-2023,4617.713892
01-04-2023,4617.70233
01-03-2023,4617.686914
01-02-2023,4617.674067
01-01-2023,4617.658651
